DATE,Home_Price_Index,Interest_Rate,Unemployment_Rate,Inflation_CPI,Building_Permits,Consumer_Sentiment,Housing_Starts,US_Population,Mortgage_Rate,Median_Income,Interest_Rate_lag1,Unemployment_Rate_lag1,Inflation_CPI_lag1,Mortgage_Rate_lag1,Unemployment_Rate_roll3,Consumer_Sentiment_roll3,Income_to_Mortgage_Ratio,Income_to_Unemployment_Ratio,Permit_to_Population_Ratio,CPI_to_Interest_Rate,HPI_lag1,HPI_lag3,Home_Price_Index_Smoothed,Income_pct_change,Unemployment_pct_change,HPI_pct_change
2011-12-01,136.668,0.07,8.5,227.223,697,69.9,694,313454,3.9579999999999997,34920.0,0.08,8.6,227.169,3.9925,8.633333333333333,64.8,8822.637695805963,4108.235294117647,0.002223611758025101,3246.042857142857,137.14600000000002,138.664,137.25366666666665,0.0,-0.011627906976744096,-0.003485336794365246
2012-01-01,136.602,0.08,8.3,227.842,712,75.0,723,313636,3.915,34780.0,0.07,8.5,227.223,3.9579999999999997,8.466666666666667,69.53333333333335,8883.780332056194,4190.361445783132,0.0022701475595913734,2848.025,136.668,137.947,136.80533333333332,-0.004009163802978222,-0.0235294117647058,-0.00048292211783296235
2012-02-01,136.526,0.1,8.3,228.329,738,75.3,704,313811,3.89,34780.0,0.08,8.3,227.842,3.915,8.366666666666667,73.39999999999999,8940.874035989717,4190.361445783132,0.002351734005500126,2283.29,136.602,137.14600000000002,136.59866666666667,0.0,0.0,-0.0005563608146292864
2012-03-01,137.89700000000002,0.13,8.2,228.807,806,76.2,695,313993,3.9539999999999997,34780.0,0.1,8.3,228.329,3.89,8.266666666666667,75.5,8796.15579160344,4241.463414634147,0.002566936205584201,1760.053846153846,136.526,136.668,137.00833333333335,0.0,-0.012048192771084487,0.010042043273808643
2012-04-01,139.148,0.14,8.2,229.187,732,76.4,753,314176,3.91,34780.0,0.13,8.2,228.807,3.9539999999999997,8.233333333333333,75.96666666666667,8895.140664961637,4241.463414634147,0.0023299042574862496,1637.05,137.89700000000002,136.602,137.857,0.0,0.0,0.009071988513165374
2012-05-01,140.149,0.16,8.2,228.713,796,79.3,708,314368,3.7979999999999996,34780.0,0.14,8.2,229.187,3.91,8.2,77.30000000000001,9157.451290152712,4241.463414634147,0.002532064332247557,1429.45625,139.148,136.526,139.06466666666668,0.0,0.0,0.007193779285365354
2012-06-01,141.02700000000002,0.16,8.2,228.524,794,73.2,757,314576,3.675,34780.0,0.16,8.2,228.713,3.7979999999999996,8.2,76.3,9463.945578231293,4241.463414634147,0.0025240323483037485,1428.2749999999999,140.149,137.89700000000002,140.10800000000003,0.0,0.0,0.006264761075712277
2012-07-01,141.668,0.16,8.2,228.59,849,72.3,740,314796,3.55,34780.0,0.16,8.2,228.524,3.675,8.2,74.93333333333334,9797.18309859155,4241.463414634147,0.0026969847139099606,1428.6875,141.02700000000002,139.148,140.948,0.0,0.0,0.004545228927793854
2012-08-01,142.278,0.13,8.1,229.918,840,74.3,754,315031,3.6019999999999994,34780.0,0.16,8.2,228.59,3.55,8.166666666666666,73.26666666666667,9655.746807329264,4293.827160493827,0.002666404258628516,1768.6,141.668,140.149,141.65766666666667,0.0,-0.012195121951219523,0.0043058418273709265
2012-09-01,142.905,0.14,7.8,231.015,930,78.3,847,315264,3.4975,34780.0,0.13,8.1,229.918,3.6019999999999994,8.033333333333333,74.96666666666665,9944.245889921373,4458.974358974359,0.002949908647990256,1650.1071428571427,142.278,141.02700000000002,142.28366666666668,0.0,-0.03703703703703698,0.0044068654324633805
